"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Dec 03 05:25:37 GMT 2022","Sat Dec 03 05:25:38 GMT 2022","613","","Inscrição","","","","Validar botão 'próximo' permanece desativado ao preencher campo CPF com dado inválido",""
"passed","Sat Dec 03 05:25:36 GMT 2022","Sat Dec 03 05:25:37 GMT 2022","982","","Inscrição","","","","Validar preencher campo email com dado inválido retorna mensagem de erro 'Email inválido'",""
"passed","Sat Dec 03 05:26:56 GMT 2022","Sat Dec 03 05:26:59 GMT 2022","2894","","Dashboard","","","","validar editar próprio perfil com email não @dbccompany.com.br retorna mensagem de erro 'Só é válido o email com @dbccompany.com.br'",""
"passed","Sat Dec 03 05:25:50 GMT 2022","Sat Dec 03 05:25:54 GMT 2022","4529","","Dashboard","","","","validar buscar gestor pelo nome com sucesso",""
"passed","Sat Dec 03 05:26:59 GMT 2022","Sat Dec 03 05:27:05 GMT 2022","6114","","Dashboard","","","","validar não redirecionar para tela de edição de gestor quando logado com colaborador",""
"passed","Sat Dec 03 05:25:38 GMT 2022","Sat Dec 03 05:25:39 GMT 2022","1010","","Inscrição","","","","Validar preencher campo Telefone com dado inválido retorna mensagem de erro 'O telefone precisa ser válido.'",""
"failed","Sat Dec 03 05:26:19 GMT 2022","Sat Dec 03 05:26:35 GMT 2022","16600","","Dashboard","","","","validar editar gestor com sucesso",""
"passed","Sat Dec 03 05:25:42 GMT 2022","Sat Dec 03 05:25:47 GMT 2022","5086","","Inscrição","","","","Validar botão 'próximo' desabilitado ao não preencher todos os campos obrigatórios do Step 2 com dados válidos",""
"passed","Sat Dec 03 05:27:24 GMT 2022","Sat Dec 03 05:27:24 GMT 2022","323","","Login","","","","Validar clicar no botao inscrever-se redireciona para página de inscrição",""
"passed","Sat Dec 03 05:25:54 GMT 2022","Sat Dec 03 05:26:07 GMT 2022","12388","","Dashboard","","","","validar buscar gestor pelo email com sucesso",""
"passed","Sat Dec 03 05:26:07 GMT 2022","Sat Dec 03 05:26:19 GMT 2022","11673","","Dashboard","","","","validar criar gestor com sucesso",""
"failed","Sat Dec 03 05:27:12 GMT 2022","Sat Dec 03 05:27:17 GMT 2022","4663","","Login","","","","Validar Fazer login com dados inválidos retorna mensagem de erro 'Email ou senha inválidos'",""
"passed","Sat Dec 03 05:25:32 GMT 2022","Sat Dec 03 05:25:35 GMT 2022","3579","","Inscrição","","","","Validar inscrição de candidato com dados válidos e marcando não para 'Você é matriculado em algum curso de graduação ou técnico?' retorna mensagem de erro",""
"passed","Sat Dec 03 05:27:11 GMT 2022","Sat Dec 03 05:27:12 GMT 2022","1250","","Login","","","","Validar fazer login do usuario colaborador com sucesso",""
"failed","Sat Dec 03 05:26:48 GMT 2022","Sat Dec 03 05:26:56 GMT 2022","8175","","Dashboard","","","","validar editar gestor com email não @dbccompany.com.br retorna mensagem de erro 'Só é válido o email com @dbccompany.com.br'",""
"passed","Sat Dec 03 05:25:35 GMT 2022","Sat Dec 03 05:25:36 GMT 2022","1127","","Inscrição","","","","Validar preencher campo nome com dado inválido retorna mensagem de erro 'Nome inválido'",""
"passed","Sat Dec 03 05:25:41 GMT 2022","Sat Dec 03 05:25:42 GMT 2022","807","","Inscrição","","","","Validar não preencher campos do Step 1 com dados válidos retorna mensagens de erro",""
"failed","Sat Dec 03 05:27:19 GMT 2022","Sat Dec 03 05:27:24 GMT 2022","4262","","Login","","","","Validar Fazer login sem preencher campos retorna mensagem de erro 'Email ou senha inválidos'",""
"passed","Sat Dec 03 05:27:09 GMT 2022","Sat Dec 03 05:27:11 GMT 2022","2194","","Login","","","","Validar fazer login do usuario admin com sucesso",""
"passed","Sat Dec 03 05:25:40 GMT 2022","Sat Dec 03 05:25:41 GMT 2022","1031","","Inscrição","","","","Validar preencher campo Cidade com dado inválido retorna mensagem de erro 'É necessário no mínimo 3 letras'",""
"passed","Sat Dec 03 05:27:18 GMT 2022","Sat Dec 03 05:27:19 GMT 2022","1480","","Login","","","","Validar Fazer login com senha incorreta retorna mensagem de erro 'Email ou senha inválidos'",""
"passed","Sat Dec 03 05:25:39 GMT 2022","Sat Dec 03 05:25:40 GMT 2022","1108","","Inscrição","","","","Validar preencher campo RG com dado inválido retorna mensagem de erro 'O RG precisa ter no mínimo 7 caracteres'",""
"passed","Sat Dec 03 05:26:35 GMT 2022","Sat Dec 03 05:26:48 GMT 2022","12943","","Dashboard","","","","validar excluir gestor com sucesso",""
"passed","Sat Dec 03 05:27:17 GMT 2022","Sat Dec 03 05:27:18 GMT 2022","1088","","Login","","","","Validar fazer login com Email Invalido retorna mensagem de erro 'Email ou senha inválidos' ",""
"passed","Sat Dec 03 05:25:21 GMT 2022","Sat Dec 03 05:25:32 GMT 2022","10403","","Inscrição","","","","Validar inscrição de candidato com sucesso",""
